word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
activities,2000s,337,89,4,868,7141270,3445,1032,57,7266,67070891
activities,2010s,673,245,10,1678,14295950,4920,1406,104,8647,84731684
activity,1980s,261,93,4,584,3177602,6291,1613,134,6430,46072214
activity,1990s,362,114,6,643,4529684,5606,1555,96,6242,52955592
activity,2000s,704,175,14,868,7141270,7313,1616,160,7266,67070891
activity,2010s,1414,407,32,1678,14295950,9524,2118,221,8647,84731684
acts,1980s,832,176,18,584,3177602,10593,2099,270,6430,46072214
acts,1990s,836,184,21,643,4529684,9094,1856,216,6242,52955592
acts,2000s,1299,285,33,868,7141270,10945,2174,245,7266,67070891
acts,2010s,2850,557,68,1678,14295950,13947,2798,333,8647,84731684
actual,1980s,2065,316,58,584,3177602,17117,3572,402,6430,46072214
actual,1990s,2469,387,66,643,4529684,19856,3725,507,6242,52955592
actual,2000s,4630,593,124,868,7141270,26063,4448,669,7266,67070891
actual,2010s,7283,1046,189,1678,14295950,31253,5256,764,8647,84731684
actuality,1980s,102,28,2,584,3177602,1090,349,21,6430,46072214
actuality,1990s,74,34,0,643,4529684,922,352,16,6242,52955592
actuality,2000s,303,73,10,868,7141270,1460,427,32,7266,67070891
actuality,2010s,804,126,19,1678,14295950,2458,531,52,8647,84731684
actually,1980s,1091,346,18,584,3177602,12585,3990,170,6430,46072214
actually,1990s,1776,443,37,643,4529684,14688,4184,234,6242,52955592
actually,2000s,2736,638,49,868,7141270,18872,5014,333,7266,67070891
actually,2010s,5101,1230,110,1678,14295950,23565,5975,421,8647,84731684
adams,1980s,54,21,0,584,3177602,1464,305,33,6430,46072214
adams,1990s,238,41,6,643,4529684,1916,372,50,6242,52955592
adams,2000s,267,59,5,868,7141270,2064,422,46,7266,67070891
adams,2010s,619,116,15,1678,14295950,2433,504,56,8647,84731684
add,1980s,285,183,0,584,3177602,3778,2159,13,6430,46072214
add,1990s,376,231,0,643,4529684,4229,2320,15,6242,52955592
add,2000s,599,312,3,868,7141270,5340,2823,22,7266,67070891
add,2010s,1318,683,8,1678,14295950,6785,3484,29,8647,84731684
addition,1980s,534,265,3,584,3177602,5757,2752,34,6430,46072214
addition,1990s,617,313,0,643,4529684,6739,2998,42,6242,52955592
addition,2000s,935,443,3,868,7141270,8659,3703,49,7266,67070891
addition,2010s,1989,860,12,1678,14295950,11462,4634,87,8647,84731684
additional,1980s,362,182,4,584,3177602,3879,1952,22,6430,46072214
additional,1990s,400,213,1,643,4529684,4596,2159,28,6242,52955592
additional,2000s,706,336,4,868,7141270,6581,2879,42,7266,67070891
additional,2010s,2074,768,22,1678,14295950,10342,3936,96,8647,84731684
address,1980s,97,75,0,584,3177602,1484,1046,1,6430,46072214
address,1990s,335,182,2,643,4529684,2963,1746,10,6242,52955592
address,2000s,573,321,2,868,7141270,4878,2574,14,7266,67070891
address,2010s,1422,742,7,1678,14295950,7787,3694,48,8647,84731684
adequate,1980s,628,239,10,584,3177602,7233,2657,98,6430,46072214
adequate,1990s,741,265,13,643,4529684,6439,2481,75,6242,52955592
adequate,2000s,980,350,13,868,7141270,7552,2792,97,7266,67070891
adequate,2010s,1410,574,16,1678,14295950,8337,3038,109,8647,84731684
adopt,1980s,288,164,3,584,3177602,3791,1876,27,6430,46072214
adopt,1990s,449,210,4,643,4529684,4351,2104,30,6242,52955592
adopt,2000s,688,309,8,868,7141270,5170,2465,30,7266,67070891
adopt,2010s,1669,674,19,1678,14295950,8186,3422,77,8647,84731684
advantage,1980s,179,98,1,584,3177602,2778,1366,24,6430,46072214
advantage,1990s,316,133,4,643,4529684,3072,1502,23,6242,52955592
advantage,2000s,369,207,1,868,7141270,3683,1880,20,7266,67070891
advantage,2010s,969,474,6,1678,14295950,5017,2527,36,8647,84731684
aesthetic,1980s,208,25,5,584,3177602,2566,437,53,6430,46072214
aesthetic,1990s,198,27,3,643,4529684,2651,407,54,6242,52955592
aesthetic,2000s,290,57,5,868,7141270,2863,393,31,7266,67070891
aesthetic,2010s,546,102,11,1678,14295950,7922,598,98,8647,84731684
affairs,1980s,969,172,19,584,3177602,10316,1999,267,6430,46072214
affairs,1990s,1434,189,28,643,4529684,10454,1860,260,6242,52955592
affairs,2000s,1379,285,22,868,7141270,11672,2121,293,7266,67070891
affairs,2010s,2460,484,54,1678,14295950,12330,2312,316,8647,84731684
affect,1980s,256,122,2,584,3177602,3228,1671,19,6430,46072214
affect,1990s,332,182,2,643,4529684,3541,1741,30,6242,52955592
affect,2000s,617,258,7,868,7141270,5307,2190,52,7266,67070891
affect,2010s,1446,538,22,1678,14295950,7136,2880,84,8647,84731684
affective,1980s,32,8,0,584,3177602,428,158,7,6430,46072214
affective,1990s,97,26,2,643,4529684,766,193,11,6242,52955592
affective,2000s,144,35,3,868,7141270,1481,266,32,7266,67070891
affective,2010s,768,124,16,1678,14295950,3571,490,74,8647,84731684
agency,1980s,189,39,4,584,3177602,2372,561,46,6430,46072214
agency,1990s,281,63,8,643,4529684,3636,690,84,6242,52955592
agency,2000s,697,118,16,868,7141270,5964,961,140,7266,67070891
agency,2010s,2569,358,55,1678,14295950,11153,1590,241,8647,84731684
agent,1980s,1561,151,45,584,3177602,16340,1776,473,6430,46072214
agent,1990s,2772,210,67,643,4529684,22402,1922,576,6242,52955592
agent,2000s,5146,354,154,868,7141270,29785,2400,822,7266,67070891
agent,2010s,10287,769,282,1678,14295950,46999,3542,1290,8647,84731684
agents,1980s,923,120,27,584,3177602,10442,1535,318,6430,46072214
agents,1990s,1465,199,51,643,4529684,14927,1757,449,6242,52955592
